date,storage_pct_full,storage_vs_5yr_avg_ppt,storage_5yr_avg,injection_gwh,injection_30d_avg_gwh,injection_vs_30d_avg_gwh,ttf_price_eur_mwh,ttf_30d_momentum_pct,ttf_90d_momentum_pct,ttf_curve_premium_pct,eua_price_eur,eua_30d_momentum_pct,gas_carbon_30d_corr,de_da_price_eur_mwh,fr_da_price_eur_mwh,nl_da_price_eur_mwh,be_da_price_eur_mwh,es_da_price_eur_mwh,clean_spark_spread_eur_mwh,de_power_gas_spread_mwh
2026-01-25,44.91,-16.345000000000006,61.255,487.52,219.42366666666666,268.0963333333333,40.03900146484375,42.51291134864659,,33.151958370284646,83.17500305175781,0.44077466963550194,0.21040279379495158,111.92833333333334,99.86333333333332,110.52395833333333,109.670625,11.253541666666663,13.414734829442043,71.88933186848959
2026-01-26,44.19,-16.525000000000006,60.715,456.32,225.04933333333332,231.27066666666667,39.11199951171875,39.213384828692675,,29.569667330517248,82.33000183105469,-0.5796349978146487,0.1535869900495327,141.3096875,116.59583333333336,138.25447916666667,136.93447916666665,35.52104166666667,44.85861996335398,102.19768798828125
2026-01-27,43.53,-16.700000000000003,60.230000000000004,225.52,224.67633333333333,0.8436666666666781,38.76100158691406,37.964059563047115,,27.94681424128502,83.20999908447266,0.4830353069336546,0.12783685676817105,130.60614583333333,94.4878125,117.160625,117.46572916666666,28.8175,34.69364114701666,91.84514424641927
2026-01-28,42.85,-16.910000000000004,59.760000000000005,152.48,225.781,-73.30100000000002,38.86100006103516,36.19190972426936,,27.8250886454622,81.31999969482422,-0.9138540304482246,0.041704520705685776,136.82791666666665,126.51947916666668,135.82885416666667,135.83041666666665,28.05875,41.09311333844447,97.9669166056315
2026-01-29,42.15,-17.17,59.32,175.3,227.56233333333333,-52.262333333333316,40.11299896240234,44.46804682792871,,31.424986326991533,78.80999755859375,-3.825739395821215,-0.11281814201362363,132.40229166666668,117.2315625,126.05541666666666,131.0009375,26.090625,34.61940897125455,92.28929270426434
2026-01-30,41.54,-17.305,58.845,265.93,231.36266666666668,34.56733333333332,39.28499984741211,39.50144109434579,,28.26304489949529,76.80500030517578,-6.369619105053315,-0.23332443902145666,113.68802083333333,104.03677083333334,110.91697916666668,113.905,12.607708333333331,17.999941695336577,74.40302098592122
2026-01-31,41.02,-17.324999999999996,58.345,231.93,228.707,3.223000000000013,39.28499984741211,39.50144109434579,,27.827767558062067,76.80500030517578,-6.369619105053315,-0.32022347341752794,109.38927083333334,111.61145833333336,113.11010416666666,112.76197916666666,5.5676041666666665,13.701191695336593,70.10427098592123
2026-02-01,40.53,-17.3575,57.8875,344.49,230.91033333333334,113.57966666666667,39.28499984741211,35.44683574712282,,27.405694219453437,76.80500030517578,-7.691847106588523,-0.36665059241253917,108.58666666666666,110.04760416666666,112.44958333333334,111.26572916666667,24.575625,12.89858752866991,69.30166681925455
2026-02-02,39.87,-17.557500000000005,57.4275,109.47,226.4356666666667,-116.96566666666669,33.94499969482422,17.035581416805456,,9.956977560267596,78.37000274658203,-5.81094763304012,-0.3463460782775736,107.74333333333334,109.9253125,108.75010416666667,110.3196875,13.8340625,22.637083197249844,73.79833363850912
2026-02-03,39.18,-17.8525,57.0325,175.16,227.22899999999998,-52.06899999999999,32.86000061035156,13.294721206772198,,6.362696201143822,77.5199966430664,-6.832528168837149,-0.3047315883760128,98.47604166666667,86.94156249999999,97.23572916666666,98.39927083333332,32.741770833333334,15.755776609355904,65.61604105631511
